City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,-30.96,97,100,3.4,RU,1707683623
1,dunedin,-45.8742,170.5036,14.33,69,100,0.45,NZ,1707683651
2,braunfels,50.5155,8.3892,9.5,95,98,2.42,DE,1707683766
3,port-aux-francais,-49.35,70.2167,7.73,92,100,11.93,TF,1707683766
4,utrik,11.2278,169.8474,26.07,75,100,10.94,MH,1707683767
5,grytviken,-54.2811,-36.5092,4.85,85,20,4.7,GS,1707683768
6,jever,53.5833,7.9,7.25,100,100,0.51,DE,1707683769
7,sinan,34.8262,126.1086,-0.94,71,0,2.35,KR,1707683769
8,lihue,21.9789,-159.3672,25.2,72,40,1.54,US,1707683770
9,forbes,-33.3833,148.0167,21.62,65,1,2.66,AU,1707683771
10,rajmahal,25.05,87.8333,15.46,36,38,1.8,IN,1707683771
11,isna,25.2934,32.554,17.11,43,0,1.67,EG,1707683772
12,nova sintra,14.8667,-24.7167,20.88,77,0,6.32,CV,1707683773
13,grande prairie,55.1667,-118.8027,0.1,64,20,1.54,CA,1707683523
14,tura,25.5198,90.2201,14.66,50,52,1.32,IN,1707683775
15,atafu village,-8.5421,-172.5159,28.22,78,100,2.74,TK,1707683775
16,mount gambier,-37.8333,140.7667,14.13,89,6,1.44,AU,1707683561
17,yelovo,57.0538,54.9207,-19.23,100,100,2.34,RU,1707683777
18,swakopmund,-22.6833,14.5333,19.47,82,96,1.95,NA,1707683777
19,edinburgh of the seven seas,-37.0676,-12.3116,17.61,73,17,8.46,SH,1707683621
20,waitangi,-43.9535,-176.5597,12.68,76,100,1.79,NZ,1707683620
21,mirnyy,62.5353,113.9611,-31.54,67,100,3.13,RU,1707683779
22,kapuskasing,49.4169,-82.4331,-6.95,73,100,3.09,CA,1707683780
23,pisco,-13.7,-76.2167,29.03,61,0,8.75,PE,1707683782
24,dryden,49.7833,-92.7503,-6.84,73,100,6.69,CA,1707683783
